patch,champion_name,team_position,tier,position_rank,score,win_rate,avg_kda,pick_rate,games_played
16.12,Vladimir,BOTTOM,S,1,0.803,92.3,6.39,1.8,13
16.12,Senna,BOTTOM,B,2,0.481,48.0,3.99,24.4,175
16.12,Xayah,BOTTOM,B,3,0.478,61.1,5.2,2.5,18
16.12,Velkoz,BOTTOM,B,4,0.459,65.2,4.35,3.2,23
16.12,Varus,BOTTOM,B,5,0.45,60.5,4.49,5.3,38
16.12,Zeri,BOTTOM,B,6,0.422,50.0,5.54,3.6,26
16.12,Ezreal,BOTTOM,B,7,0.418,50.0,3.21,21.4,154
16.12,Tristana,BOTTOM,B,8,0.411,62.5,3.51,6.7,48
16.11,Senna,BOTTOM,B,9,0.41,50.0,3.63,17.2,10
16.12,Sivir,BOTTOM,B,10,0.407,61.4,3.43,7.9,57
16.12,Smolder,BOTTOM,B,11,0.385,63.6,3.66,1.5,11
16.12,Syndra,BOTTOM,B,12,0.378,40.0,6.36,1.4,10
16.11,Ezreal,BOTTOM,B,13,0.367,45.5,3.3,19.0,11
16.12,Caitlyn,BOTTOM,B,14,0.353,47.9,3.11,16.6,119
16.12,Yunara,BOTTOM,C,15,0.33,53.2,3.44,6.5,47
16.12,Lucian,BOTTOM,C,16,0.314,54.5,2.71,9.2,66
16.12,Ashe,BOTTOM,C,17,0.305,50.9,3.23,7.4,53
16.12,Katarina,BOTTOM,C,18,0.304,57.1,3.18,1.9,14
16.12,Nilah,BOTTOM,C,19,0.303,57.1,3.17,1.9,14
16.12,Seraphine,BOTTOM,C,20,0.3,47.1,3.96,4.7,34
16.12,Kaisa,BOTTOM,C,21,0.293,47.3,3.1,10.3,74
16.12,Jinx,BOTTOM,C,22,0.292,48.6,2.94,10.3,74
16.12,Yasuo,BOTTOM,C,23,0.29,50.0,3.89,1.4,10
16.12,Draven,BOTTOM,C,24,0.284,50.0,3.55,3.3,24
16.12,Jhin,BOTTOM,C,25,0.276,46.2,3.39,7.2,52
16.12,Ziggs,BOTTOM,C,25,0.276,42.9,4.32,2.9,21
16.12,Aphelios,BOTTOM,C,27,0.272,52.7,2.49,7.7,55
16.12,Veigar,BOTTOM,C,28,0.267,50.0,3.48,1.9,14
16.12,Vayne,BOTTOM,C,29,0.264,58.1,2.17,4.3,31
16.12,MissFortune,BOTTOM,C,30,0.246,47.6,3.32,2.9,21
16.12,Twitch,BOTTOM,C,31,0.238,42.9,3.76,2.9,21
16.12,KogMaw,BOTTOM,C,32,0.226,56.3,2.09,2.2,16
16.12,Cassiopeia,BOTTOM,C,33,0.224,41.7,3.86,1.7,12
16.12,Xerath,BOTTOM,C,34,0.208,33.3,4.56,2.1,15
16.12,Hwei,BOTTOM,C,34,0.208,38.2,3.65,4.7,34
16.12,Brand,BOTTOM,C,36,0.201,46.2,2.74,3.6,26
16.12,Kalista,BOTTOM,C,37,0.18,50.0,1.98,3.6,26
16.12,Zyra,BOTTOM,C,38,0.159,40.0,3.14,1.4,10
16.12,Mel,BOTTOM,D,39,0.138,38.1,2.86,2.9,21
16.12,Karthus,BOTTOM,D,40,0.133,41.7,2.3,3.3,24
16.12,Lux,BOTTOM,D,41,0.124,30.0,3.44,4.2,30
16.12,AurelionSol,BOTTOM,D,42,0.097,36.4,2.64,1.5,11
16.12,JarvanIV,JUNGLE,S,1,0.845,65.8,6.16,10.2,73
16.11,LeeSin,JUNGLE,S,2,0.75,60.0,4.32,17.2,10
16.12,Rengar,JUNGLE,A,3,0.74,66.0,5.26,6.5,47
16.12,Nasus,JUNGLE,A,4,0.729,60.6,6.3,4.6,33
16.12,MonkeyKing,JUNGLE,A,5,0.722,57.4,5.09,13.1,94
16.12,RekSai,JUNGLE,A,5,0.722,56.1,6.04,9.2,66
16.12,Belveth,JUNGLE,A,7,0.707,57.9,6.79,2.6,19
16.12,Naafiri,JUNGLE,A,8,0.7,53.8,5.41,12.7,91
16.12,LeeSin,JUNGLE,A,9,0.674,52.8,4.73,15.0,108
16.12,Zed,JUNGLE,A,10,0.667,65.4,4.81,3.6,26
16.12,Vayne,JUNGLE,A,11,0.632,66.7,4.05,3.8,27
16.12,Rammus,JUNGLE,A,12,0.629,50.0,7.0,1.9,14
16.12,Ekko,JUNGLE,A,13,0.613,53.1,5.33,6.8,49
16.12,Graves,JUNGLE,B,14,0.532,50.9,4.25,7.9,57
16.12,Karthus,JUNGLE,B,15,0.527,57.8,3.4,6.3,45
16.12,Hecarim,JUNGLE,B,16,0.511,45.5,4.83,7.7,55
16.12,Lillia,JUNGLE,B,17,0.508,46.7,5.67,2.1,15
16.12,Vi,JUNGLE,B,18,0.492,48.8,4.35,6.0,43
16.12,Nunu,JUNGLE,B,19,0.483,54.5,4.17,1.5,11
16.12,Aatrox,JUNGLE,B,20,0.456,48.6,3.99,5.2,37
16.12,Viego,JUNGLE,B,21,0.435,48.0,3.43,7.0,50
16.12,Kayn,JUNGLE,B,21,0.435,46.8,2.86,11.0,79
16.12,Talon,JUNGLE,B,23,0.434,43.8,3.72,8.9,64
16.12,Khazix,JUNGLE,B,24,0.427,45.6,3.52,7.9,57
16.12,Jayce,JUNGLE,B,25,0.42,53.8,3.29,1.8,13
16.12,Quinn,JUNGLE,B,26,0.409,46.3,3.56,5.7,41
16.12,Briar,JUNGLE,B,27,0.402,36.4,5.82,1.5,11
16.12,Sylas,JUNGLE,B,28,0.368,38.9,4.25,5.0,36
16.12,Nidalee,JUNGLE,B,29,0.366,42.1,4.17,2.6,19
16.12,Ambessa,JUNGLE,C,30,0.332,42.1,3.66,2.6,19
16.12,Shyvana,JUNGLE,C,31,0.329,47.6,2.7,2.9,21
16.12,Nocturne,JUNGLE,C,32,0.29,35.7,4.17,1.9,14
16.12,Diana,JUNGLE,C,33,0.284,34.8,3.98,3.2,23
16.12,MasterYi,JUNGLE,C,34,0.276,40.5,2.58,5.2,37
16.12,Taliyah,JUNGLE,C,35,0.243,36.4,3.43,1.5,11
16.12,Gwen,JUNGLE,C,36,0.208,33.3,3.2,2.5,18
16.12,Qiyana,JUNGLE,C,37,0.182,35.3,2.52,2.4,17
16.12,Shaco,JUNGLE,C,38,0.156,28.6,3.09,2.9,21
16.12,XinZhao,JUNGLE,D,39,0.054,19.2,2.92,3.6,26
16.12,Kindred,JUNGLE,D,40,0.045,23.1,2.51,1.8,13
16.12,Zoe,MIDDLE,S,1,0.766,76.5,5.19,4.7,34
16.12,Aurora,MIDDLE,A,2,0.734,59.4,7.18,4.5,32
16.12,Leblanc,MIDDLE,A,3,0.713,62.5,5.87,5.6,40
16.12,TwistedFate,MIDDLE,A,4,0.708,70.6,4.92,4.7,34
16.12,Zed,MIDDLE,A,5,0.689,63.4,3.53,9.9,71
16.12,Katarina,MIDDLE,A,6,0.68,56.1,3.85,11.4,82
16.12,Ryze,MIDDLE,A,7,0.657,53.9,4.04,10.6,76
16.12,Akali,MIDDLE,A,8,0.646,60.5,4.66,6.0,43
16.12,Vladimir,MIDDLE,A,9,0.627,57.1,4.48,6.8,49
16.12,Ekko,MIDDLE,A,10,0.625,57.6,3.81,8.2,59
16.12,Ahri,MIDDLE,A,11,0.622,53.1,4.14,8.9,64
16.12,Cassiopeia,MIDDLE,A,12,0.592,59.3,3.18,7.5,54
16.12,Orianna,MIDDLE,A,13,0.575,62.1,3.81,4.0,29
16.12,Lux,MIDDLE,A,13,0.575,50.0,4.42,7.0,50
16.12,Talon,MIDDLE,A,15,0.556,68.8,3.15,2.2,16
16.12,Sylas,MIDDLE,B,16,0.543,46.9,2.53,11.3,81
16.12,Yasuo,MIDDLE,B,17,0.515,48.2,3.17,7.8,56
16.12,Galio,MIDDLE,B,18,0.506,52.0,4.14,3.5,25
16.12,Annie,MIDDLE,B,19,0.505,47.6,5.03,2.9,21
16.12,Quinn,MIDDLE,B,20,0.486,52.6,4.02,2.6,19
16.12,Yone,MIDDLE,B,21,0.484,55.3,2.48,5.3,38
16.12,Hwei,MIDDLE,B,22,0.468,41.5,4.08,5.7,41
16.12,Viktor,MIDDLE,B,23,0.456,41.2,3.34,7.1,51
16.12,Tristana,MIDDLE,B,24,0.443,60.0,2.52,1.4,10
16.12,Fizz,MIDDLE,B,25,0.435,52.6,2.98,2.6,19
16.12,Kassadin,MIDDLE,B,26,0.426,43.8,3.39,4.5,32
16.12,Anivia,MIDDLE,B,27,0.425,45.0,3.85,2.8,20
16.12,Lissandra,MIDDLE,B,28,0.423,48.0,3.09,3.5,25
16.12,Jayce,MIDDLE,B,29,0.422,36.4,5.6,1.5,11
16.12,Syndra,MIDDLE,B,30,0.421,43.6,2.95,5.4,39
16.12,Mel,MIDDLE,B,31,0.411,34.6,4.82,3.6,26
16.12,Akshan,MIDDLE,B,32,0.379,43.3,2.63,4.2,30
16.12,Xerath,MIDDLE,B,33,0.357,34.5,3.59,4.0,29
16.12,Riven,MIDDLE,B,34,0.354,44.4,2.12,3.8,27
16.12,Taliyah,MIDDLE,C,35,0.318,38.1,2.71,2.9,21
16.12,Irelia,MIDDLE,C,36,0.252,29.6,2.3,3.8,27
16.12,Diana,MIDDLE,C,37,0.226,31.3,2.19,2.2,16
16.12,Azir,MIDDLE,C,38,0.225,31.6,1.95,2.6,19
16.12,Ziggs,MIDDLE,C,39,0.173,10.0,4.63,1.4,10
16.12,Naafiri,MIDDLE,C,40,0.165,26.7,1.69,2.1,15
16.12,Qiyana,MIDDLE,D,41,0.09,16.7,1.84,1.7,12
16.12,Kayle,MIDDLE,D,42,0.057,16.7,1.18,1.7,12
16.12,Nasus,TOP,A,1,0.713,76.5,3.19,2.4,17
16.12,DrMundo,TOP,A,2,0.681,62.1,4.06,4.0,29
16.12,Poppy,TOP,A,3,0.673,64.3,3.98,1.9,14
16.12,Teemo,TOP,A,4,0.651,68.2,3.26,3.1,22
16.12,Jayce,TOP,A,5,0.612,54.6,3.1,13.5,97
16.12,Vladimir,TOP,A,6,0.595,68.8,2.71,2.2,16
16.12,Aurora,TOP,A,7,0.594,55.0,3.94,2.8,20
16.12,Irelia,TOP,A,8,0.584,62.9,2.88,4.9,35
16.12,Riven,TOP,A,9,0.583,65.5,2.35,7.7,55
16.12,Renekton,TOP,A,10,0.561,49.1,3.67,7.7,55
16.12,Quinn,TOP,A,11,0.556,60.0,3.14,2.1,15
16.12,Gragas,TOP,A,11,0.556,65.6,2.37,4.5,32
16.11,Riven,TOP,B,13,0.539,46.2,2.25,22.4,13
16.12,Aatrox,TOP,B,14,0.533,50.0,3.48,5.8,42
16.12,Mordekaiser,TOP,B,15,0.522,61.5,2.67,1.8,13
16.12,Anivia,TOP,B,16,0.521,45.8,4.01,3.3,24
16.12,KSante,TOP,B,17,0.497,49.1,2.98,7.9,57
16.12,Volibear,TOP,B,18,0.486,71.4,1.35,1.9,14
16.12,Darius,TOP,B,19,0.48,55.2,2.61,4.0,29
16.12,Singed,TOP,B,20,0.472,41.7,4.05,1.7,12
16.12,Akali,TOP,B,21,0.471,50.0,2.96,4.5,32
16.12,Ambessa,TOP,B,21,0.471,52.3,2.59,6.1,44
16.12,Urgot,TOP,B,23,0.449,60.0,2.09,1.4,10
16.12,Varus,TOP,B,24,0.44,56.3,2.27,2.2,16
16.12,Shen,TOP,B,25,0.435,35.7,4.2,1.9,14
16.12,Ornn,TOP,B,26,0.432,45.5,3.12,3.1,22
16.12,Fiora,TOP,B,27,0.431,56.7,1.94,4.2,30
16.12,Malphite,TOP,B,28,0.425,44.4,2.84,6.3,45
16.12,Yorick,TOP,B,29,0.418,52.6,2.35,2.6,19
16.12,Vayne,TOP,B,30,0.409,48.5,1.99,9.2,66
16.12,Zaahen,TOP,B,31,0.406,46.4,2.68,3.9,28
16.12,Sion,TOP,B,32,0.374,41.5,2.64,5.7,41
16.12,Ryze,TOP,B,33,0.364,42.1,2.78,2.6,19
16.12,Yone,TOP,B,34,0.356,51.7,1.65,4.0,29
16.12,Rumble,TOP,B,34,0.356,38.7,2.42,8.6,62
16.12,Gangplank,TOP,B,36,0.352,40.0,2.49,6.3,45
16.12,Garen,TOP,C,37,0.344,42.1,2.3,5.3,38
16.12,Gnar,TOP,C,38,0.342,40.0,2.73,2.8,20
16.12,Kennen,TOP,C,39,0.339,44.0,2.25,3.5,25
16.12,Jax,TOP,C,39,0.339,39.0,2.51,5.7,41
16.12,Zed,TOP,C,41,0.323,50.0,1.73,1.4,10
16.12,TwistedFate,TOP,C,42,0.307,42.9,2.18,1.9,14
16.12,Lissandra,TOP,C,43,0.302,41.7,2.27,1.7,12
16.12,Yasuo,TOP,C,44,0.281,40.5,1.74,5.8,42
16.12,Camille,TOP,C,45,0.271,36.4,2.3,3.1,22
16.12,Pantheon,TOP,D,46,0.142,29.4,1.69,2.4,17
16.12,Kled,TOP,D,47,0.137,30.0,1.68,1.4,10
16.12,Cassiopeia,TOP,D,48,0.097,21.4,2.03,1.9,14
16.12,Olaf,TOP,D,49,0.064,21.4,1.68,1.9,14
16.12,Gwen,TOP,D,50,0.061,22.2,1.51,2.5,18
16.12,Illaoi,TOP,D,51,0.055,27.3,1.06,1.5,11
16.12,Braum,UTILITY,S,1,0.772,75.0,5.5,3.9,28
16.11,Sona,UTILITY,A,2,0.725,54.5,6.0,19.0,11
16.12,Zilean,UTILITY,A,3,0.683,66.7,5.72,3.8,27
16.12,Karma,UTILITY,A,4,0.596,55.3,5.01,13.1,94
16.12,Sona,UTILITY,A,5,0.585,60.0,4.59,9.7,70
16.12,Bard,UTILITY,A,6,0.552,50.4,4.79,16.0,115
16.12,Seraphine,UTILITY,B,7,0.542,58.6,4.24,9.7,70
16.12,Alistar,UTILITY,B,8,0.504,58.2,4.1,7.7,55
16.12,Nautilus,UTILITY,B,9,0.483,50.4,3.41,18.8,135
16.12,Anivia,UTILITY,B,10,0.476,63.6,3.5,3.1,22
16.12,Soraka,UTILITY,B,11,0.473,57.9,4.09,5.3,38
16.12,Camille,UTILITY,B,12,0.419,56.4,2.74,10.9,78
16.12,Yuumi,UTILITY,B,13,0.408,41.7,6.28,3.3,24
16.12,Neeko,UTILITY,B,14,0.4,55.6,3.92,2.5,18
16.12,TwistedFate,UTILITY,B,15,0.381,60.7,2.57,3.9,28
16.12,Hwei,UTILITY,B,16,0.38,45.5,5.54,1.5,11
16.12,Rakan,UTILITY,B,17,0.378,46.2,4.49,7.2,52
16.12,Janna,UTILITY,B,18,0.353,45.7,4.36,6.4,46
16.12,Poppy,UTILITY,C,19,0.347,52.4,3.68,2.9,21
16.12,Thresh,UTILITY,C,20,0.339,47.9,3.75,6.7,48
16.12,Lulu,UTILITY,C,21,0.335,44.2,4.24,7.2,52
16.12,Zyra,UTILITY,C,22,0.316,58.3,2.43,1.7,12
16.12,Rell,UTILITY,C,23,0.303,43.3,3.77,8.4,60
16.12,Nami,UTILITY,C,24,0.281,43.9,3.45,7.9,57
16.12,Senna,UTILITY,C,25,0.274,45.7,3.27,6.4,46
16.12,Morgana,UTILITY,C,25,0.274,46.7,3.78,2.1,15
16.12,Pyke,UTILITY,C,25,0.274,47.2,2.86,7.4,53
16.12,Lux,UTILITY,C,28,0.263,46.7,3.29,4.2,30
16.12,Leona,UTILITY,C,29,0.233,40.6,3.2,8.9,64
16.12,Blitzcrank,UTILITY,C,30,0.231,46.2,3.31,1.8,13
16.12,Milio,UTILITY,C,31,0.198,38.5,3.62,5.4,39
16.12,Sylas,UTILITY,C,32,0.196,47.1,2.59,2.4,17
16.12,Mel,UTILITY,C,33,0.171,40.0,3.62,1.4,10
16.12,Xerath,UTILITY,C,34,0.161,37.5,3.78,2.2,16
16.12,Velkoz,UTILITY,D,35,0.116,36.4,3.46,1.5,11
16.12,Pantheon,UTILITY,D,36,0.02,34.8,2.15,3.2,23
